,title,tags
0,Indian Politics Explained,"world news,news today,latest news,india news,history of india,indian history,indian politics,india,bjp,election,indian polity,political science,politics,political cartoons,india political map,congress,political polls,what is politics,corruption in india"
1,History of Elections in India since Independence - Evolution of Indian Polity and Political Parties,"studyiq,study iq,study iq current affairs,June current affairs 2021,history of elections in india,history of elections in india before independence,history of elections in india upsc,history of lok sabha elections in india,landmark elections in history of india,history of simultaneous elections in india,india,election commission of india,election,indian elections,the second loksabha (1957-62),the third loksabha (1962-67),Evolution of Indian Polity,indian polity"
2,Election Process in india | Types of Elections | Hindi,"types of elections hindi,Election process,lok sabha elections,rajya sabha election,vidhan sabha election,state assembly elections,who to vote in 2019,bjp vs congress,modi vs rahul,lok sabha election process,explain election system hindi,how elections happen hindi,how pm is elected,how cm is elected,upper house,lower house,what is parliament,parliament of india hindi,basic gyan,basic gyaan"
3,Maharashtra CM Eknath Shinde | Oath Taking Ceremony | Devendra Fadnavis | CNN News18 LIVE,"cnn news18,news18,cnn news18 live,cnn live,latest news,news,India today live,news18 live,live news english,cnn news 18,india news today,cnn news18 live english,English news,English News Live,News18,Breaking News,CNN IBN,CNN News18 Breaking,CNN Breaking News,English News,Maharashtra News Live,uddhav thackeray,eknath shinde,eknath shinde cm,udaipur case,pm modi news,udaipur news,amravati news,bjp news,pm modi meet,amravati kiilling,amravati"
4,Indian Polity (Complete)  | Marathon Class by Aman Sir | Non-Stop 6 Hours,"wifistudy studios,wifistudy,indian polity for upsc,indian polity in hindi,indian polity for ssc cgl,indian polity lectutes for ssc,indian polity lectures,polity,complete indian polity,indian polity and constitution,upsc,upsc preparation,polity for upsc,indian constitution,indian polity questions,indian polity wifistudy,indian polity wifistudy studios,indian polity for ssc cgl in hindi,indian polity for ssc chsl,indian polity by aman sir,aman sir indian polity"
5,How Indian Politics Works (I think),"India,government,election,politics,Gandhi,INC,BJP,Hindu,history,educational,voting,debate,Modi,learning,funny,foreigner,outsider,international,news,vote,prime minister,parliament,explainer,explain,logo,symbols,EVM,parties,coalition"
6,Can Yogi be the Next Modi? | Indian Politics | UP Assembly Elections 2022 | Party and Politics,"studyiq,study iq,Studyiq,Study IQ,Can Yogi be the Next Modi,Yogi Adityanath,Indian Politics,UP Assembly Elections 2022 Yogi Adityanath Interview,Yogi Adityanath Live,uttar pradesh,uttar Pradesh chief minister,up cm,up cm yogi adityanath,uttar Pradesh cm yogi adityanath,yogi adityanath India today,yogi adityanath next PM,up polls,indian politics,up election,uttar pradesh election 2022,Can Yogi be the Next Modi,yogi adityanath,cm yogi adityanath,modi"
7,"Politics in India, Instagram &amp; Sign boards | Stand-up Comedy | Munawar Faruqui | 2020","#standupcomedy,#standupcomedyhindi,#standupcomedyindia,#thehabitat,#tiktokindia,#instagram,#instafilters,#snapchat,#comedy,#funny,#funnyvideo,#crimepatrol,#meme,#memes,#cricket,#muslimc"
8,Politics in India - Part 2 | Stand-Up Comedy by Munawar Faruqui,"bihar politics,power and politics,nitish kumar,bihar politics latest news,chirag paswan,politics in india,narendra modi,narendra modi live,kolkata election news,arnab goswami"
9,Polity Science : संसद (Parliament) | Polity GK | Indian Constitution Quiz,"polity of india,polity science polity in hindi,indian constitution,indian constitution notes pdf,indian constitution quiz,indian constitution articles,Articles trick,indian constitution in hindi,indian constitution gk,indian polity,gk on indian constitution,indian polity questions and answers,indian polity and economy,quiz on indian constitution,gk in hindi,polity gk quiz,polity gk,polity,gk tricks in hindi,ssc mts,upsc"
10,Political Divisions of India | With Memory Techniques by Ma&#39;am Richa  | English &amp; Hindi | All Exams,"political divisions,political map of india,political divisions of india,india political divisions,ssc,ntpc,rrb,ssc gd,upsc,ias,ips,ifs,reet,parcham,richa Ma'am,memory tricks"
11,A Close look at Indian politics beyond Modi &amp; BJP | ep 282,"ThePrint,cut the clutter,ctc,shekhar gupta,shekhar gupta ctc,arvind kejriwal,mamata banerjee,sondesh sweet recipe,indian politics"
